pop,crimes,unem,police,pcinc,west,nrtheast,south,year,area,d87,popden,crmrte,polarea,lawexpc,polpc,lpop,lpolice,lpcinc,llawexpc,lpopden,lcrimes,larea,lcrmrte,clcrimes,clpop,clcrmrte,lpolpc,clpolpc,cllawexp,cunem,clpopden,lcrmrt_1,ccrmrte,randnum
229528,17136,8.19999980926514,326,8532,1,0,0,82,44.5999984741211,0,5146.3681640625,74.6575622558594,7.30941677093506,850.859924316406,1.42030596733093,12.3437795639038,5.7868971824646,9.05157947540283,6.74624681472778,8.54604625701904,9.74893665313721,3.7977340221405,4.31291198730469,,,,0.350872308015823,,,,,,,0.355342119932175
246815,17306,3.70000004768372,321,12155,1,0,0,87,44.5999984741211,1,5533.96923828125,70.1172866821289,7.1973090171814,2262.43994140625,1.3005690574646,12.4163904190063,5.7714409828186,9.40549564361572,7.72419881820679,8.61866092681885,9.75880813598633,3.7977340221405,4.250168800354,0.00987149961292744,0.0726137012243271,-0.0627427026629448,0.262802094221115,-0.0880701988935471,0.977952003479004,-4.5,0.0726146996021271,4.31291198730469,-4.54026794433594,0.706872045993805
814054,75654,8.10000038146973,1621,7551,1,0,0,82,375,0,2170.81103515625,92.9348678588867,4.32266712188721,875.080017089844,1.99126803874969,13.6097803115845,7.39079904556274,8.92943572998047,6.77431488037109,7.68285608291626,11.2339296340942,5.92692613601685,4.53189897537231,,,,0.688771784305573,,,,,,,0.399137645959854
933177,83960,5.40000009536743,1803,11363,1,0,0,87,375,1,2488.47192382813,89.9722137451172,4.80800008773804,1069.64001464844,1.93210899829865,13.7463502883911,7.4972071647644,9.3381175994873,6.97507810592651,7.81942415237427,11.3381004333496,5.92692613601685,4.49950122833252,0.104169800877571,0.13656809926033,-0.0323982015252113,0.658612310886383,-0.0301594994962215,0.200762301683426,-2.70000004768372,0.13656809926033,4.53189897537231,-2.96265411376953,0.227267041802406
374974,31352,9,633,8343,1,0,0,82,49.7999992370606,0,7529.59912109375,83.6111297607422,12.7108402252197,1121.90002441406,1.68811702728271,12.8346099853516,6.45046997070313,9.02917861938477,7.02277898788452,8.92659664154053,10.3530302047729,3.90801501274109,4.42617702484131,,,,0.523613810539246,,,,,,,0.336586356163025
406297,31364,5.90000009536743,685,11729,1,0,0,87,49.7999992370606,1,8158.57421875,77.1947631835938,13.7550201416016,1545.59997558594,1.68595898151398,12.9148397445679,6.5294189453125,9.36981964111328,7.34316682815552,9.00682353973389,10.3534202575684,3.90801501274109,4.34633207321167,0.000383400009013712,0.0802278965711594,-0.0798449963331223,0.522334396839142,-0.00127939996309578,0.320388287305832,-3.09999990463257,0.0802278965711594,4.42617702484131,-6.41637420654297,0.159844428300858
176496,15698,12.6000003814697,245,7592,1,0,0,82,74,0,2385.0810546875,88.9425277709961,3.31081104278564,743.820007324219,1.38813304901123,12.0810499191284,5.50125789642334,8.93485069274902,6.61179876327515,7.7769889831543,9.66128826141357,4.30406522750855,4.48798990249634,,,,0.327960014343262,,,,,,,0.904522061347961
201723,16953,5.69999980926514,259,10802,1,0,0,87,74,1,2725.98706054688,84.0409927368164,3.5,848.260070800781,1.2839390039444,12.2146501541138,5.55682802200317,9.2874870300293,6.74318695068359,7.91058588027954,9.73820018768311,4.30406522750855,4.43130397796631,0.0769118964672089,0.133597403764725,-0.0566858984529972,0.24993260204792,-0.0780273973941803,0.131388202309608,-6.90000104904175,0.133597403764725,4.48798990249634,-4.90154314041138,0.643565654754639
288446,31202,12.6000003814697,504,7558,1,0,0,82,97.3000030517578,0,2964.5009765625,108.172798156738,5.17985582351685,973.640014648437,1.7472939491272,12.5722599029541,6.22257614135742,8.9303617477417,6.88104200363159,7.99446392059326,10.3482398986816,4.57779884338379,4.68373012542725,,,,0.55806827545166,,,,,,,0.563570439815521
331728,34355,7.40000009536743,563,10627,1,0,0,87,97.3000030517578,1,3409.33203125,103.56379699707,5.78622817993164,1142.40002441406,1.69717395305634,12.7120704650879,6.33328008651733,9.27115345001221,7.04088592529297,8.1342716217041,10.4444999694824,4.57779884338379,4.64018821716309,0.0962658002972603,0.13980770111084,-0.0435419008135796,0.528964281082153,-0.0291041005402803,0.159844905138016,-5.19999980926514,0.13980770111084,4.68373012542725,-4.6089940071106,0.621108293533325
