attend,termgpa,priGPA,ACT,final,atndrte,hwrte,frosh,soph,skipped,tndfnl,randnum,id
30,3,2.46000003814697,24,30,93.75,87.5,0,0,2,0.892857074737549,0.399137645959854,3
31,2.03999996185303,2.60999989509583,20,27,96.875,100,0,1,1,0.262605011463165,0.227267041802406,4
32,3.6800000667572,3.3199999332428,23,34,100,100,0,1,0,1.7331930398941,0.336586356163025,5
29,3.23000001907349,2.9300000667572,26,25,90.625,100,0,1,3,-0.157563000917435,0.159844428300858,6
30,1.53999996185303,1.94000005722046,21,10,93.75,75,1,0,2,-3.30882406234741,0.904522061347961,7
26,2,2.11999988555908,22,34,81.25,100,0,1,6,1.7331930398941,0.643565654754639,8
24,2.25,2.05999994277954,24,26,75,100,1,0,8,0.052521001547575,0.563570439815521,9
29,3,2.73000001907349,21,26,90.625,100,0,1,3,0.052521001547575,0.621108293533325,10
30,3.21000003814697,2.28999996185303,16,27,93.75,100,0,0,2,0.262605011463165,0.799204409122467,11
19,2.04999995231628,2.28999996185303,24,22,59.375,50,1,0,13,-0.78781521320343,0.281725406646729,12
19,2.13000011444092,2.64000010490418,24,27,59.375,75,0,0,13,0.262605011463165,0.17462569475174,13
29,3.57999992370605,3.39000010490418,27,33,90.625,100,0,1,3,1.523108959198,0.346458911895752,14
29,2.5,2.75999999046326,25,29,90.625,62.5,0,1,3,0.682773113250732,0.185245364904404,15
30,2.09999990463257,2.32999992370605,20,23,93.75,100,1,0,2,-0.577731072902679,0.384584933519363,16
20,1.26999998092651,1.98000001907349,22,22,62.5,75,0,1,12,-0.78781521320343,0.267584353685379,17
31,3.15000009536743,3.01999998092651,18,25,96.875,100,1,0,1,-0.157563000917435,0.314449340105057,18
29,2.38000011444092,2.32999992370605,22,22,90.625,100,0,1,3,-0.78781521320343,0.318420708179474,19
25,2.32999992370605,2.39000010490418,23,27,78.125,100,0,1,7,0.262605011463165,0.405290991067886,20
31,2.32999992370605,2.4300000667572,21,19,96.875,100,0,1,1,-1.41806697845459,0.571455001831055,21
27,3.28999996185303,2.57999992370605,26,33,84.375,87.5,0,0,5,1.523108959198,0.113777048885822,23
29,3.79999995231628,3.35999989509583,29,31,90.625,100,0,1,3,1.10294103622437,0.953939616680145,24
32,3.5,3.01999998092651,28,32,100,100,0,0,0,1.31302499771118,0.0987244173884392,25
25,2.14000010490417,2.11999988555908,16,22,78.125,100,0,1,7,-0.78781521320343,0.91671085357666,26
