price,assess,bdrms,lotsize,sqrft,colonial,lprice,lassess,llotsize,lsqrft
280000,336500,4,8460,1915,1,12.5425453186035,12.7263536453247,9.04310417175293,7.55747270584106
357000,391500,4,9687,2381,1,12.7854909896851,12.8777408599854,9.17854022979736,7.77527570724487
230000,217800,4,4806,1573,1,12.3458347320557,12.291332244873,8.4776201248169,7.36073970794678
272000,326900,4,6666,2253,0,12.513557434082,12.6974096298218,8.80477523803711,7.72001791000366
333000,345500,3,6993,1987,1,12.7158975601196,12.7527475357056,8.85266494750977,7.59438133239746
250000,268400,3,8410,1722,1,12.4292163848877,12.5002336502075,9.03717708587646,7.4512414932251
227000,248900,3,6800,1599,0,12.3327054977417,12.4248065948486,8.82467746734619,7.37713384628296
264000,313900,3,6637,1972,1,12.4837045669556,12.6568298339844,8.8004150390625,7.5868034362793
212000,279300,3,6460,1899,0,12.2643413543701,12.540041923523,8.7733850479126,7.54908275604248
203000,258100,3,6341,1574,0,12.2209615707397,12.4611024856567,8.75479221343994,7.36137533187866
240000,256300,3,2892,1890,0,12.3883943557739,12.4541034698486,7.96970367431641,7.5443320274353
515000,502900,7,9446,3757,1,13.1519222259521,13.1281461715698,9.15334701538086,8.2313756942749
337000,438700,5,8031,2794,1,12.7278385162354,12.9915714263916,8.99106407165527,7.93522930145264
262000,274000,4,6496,2091,1,12.4760999679565,12.5208835601807,8.7789421081543,7.64539766311646
360000,452400,4,10892,2750,1,12.7938594818115,13.0223217010498,9.29578399658203,7.91935634613037
405000,434000,3,12237,3375,1,12.911642074585,12.9807996749878,9.41221904754639,8.12415027618408
214000,265400,3,5332,1652,1,12.2737312316895,12.4889936447144,8.58148193359375,7.40974187850952
225000,294200,3,6003,1768,0,12.3238554000854,12.5920152664185,8.7000150680542,7.47760438919067
361000,354900,4,9000,2066,1,12.7966327667236,12.7795915603638,9.10497951507568,7.63336944580078
392000,385800,3,10808,2293,1,12.8790168762207,12.8630743026733,9.28804206848145,7.73761606216431
310000,326000,4,8602,1835,1,12.6443271636963,12.694652557373,9.05974960327148,7.51479959487915
335000,352700,4,9325,2020,1,12.7218856811523,12.7733726501465,9.14045429229736,7.61085271835327
733000,689700,5,28934,3511,1,13.504900932312,13.4440116882324,10.2727727890015,8.16365623474121
3e+05,416500,5,7047,2634,1,12.6115379333496,12.9396419525147,8.8603572845459,7.87625885009766
215000,300400,3,11554,1694,0,12.2783937454224,12.6128702163696,9.35478687286377,7.43484783172607
253000,256800,3,5850,1536,1,12.4411449432373,12.4560527801514,8.67419719696045,7.33693695068359
242000,325300,4,7654,2001,1,12.3966932296753,12.6925029754639,8.94298362731934,7.60140228271484
235000,251900,4,6383,1840,1,12.3673410415649,12.4367876052856,8.76139354705811,7.51752090454102
369000,382800,3,9048,2306,1,12.8185520172119,12.8552675247192,9.1102991104126,7.74326992034912
236000,259400,3,5828,1715,0,12.3715867996216,12.4661264419556,8.67042922973633,7.44716835021973
240000,250700,3,6000,1536,1,12.3883943557739,12.4320125579834,8.69951438903809,7.33693695068359
281000,308100,4,5797,2000,1,12.5461101531982,12.6381797790527,8.66509628295898,7.60090255737305
250000,274900,4,20753,1496,0,12.4292163848877,12.5241622924805,9.94044589996338,7.31055021286011
